Id,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
15645,1999-09,Michigan,9349,,98,22204,,7,0,,,,,,,,,,,,,,,,,,31658
15646,1999-09,Minnesota,2297,,2492,20823,,92,0,,,,,,,,,,,,,,,,,,25704
15647,1999-09,Mississippi,0,,4674,10099,,186,0,,,,,,,,,,,,,,,,,,14959
15648,1999-09,Missouri,0,,3048,14309,,114,0,,,,,,,,,,,,,,,,,,17471
15649,1999-09,Montana,0,,1552,5933,,107,0,,,,,,,,,,,,,,,,,,7592
15650,1999-09,Nebraska,1354,,36,3236,,2,0,,,,,,,,,,,,,,,,,,4628
15651,1999-09,Nevada,0,,2385,2793,,150,0,,,,,,,,,,,,,,,,,,5328
15652,1999-09,New Hampshire,0,,1357,2828,,13,0,,,,,,,,,,,,,,,,,,4198
15653,1999-09,New Jersey,0,,1153,1856,,47,2,,,,,,,,,,,,,,,,,,3058
15654,1999-09,New Mexico,0,,2655,4844,,157,0,,,,,,,,,,,,,,,,,,7656
15655,1999-09,New York,4496,,803,11908,,14,98,,,,,,,,,,,,,,,,,,17319
15656,1999-09,North Carolina,7572,,1348,15374,,87,0,,,,,,,,,,,,,,,,,,24381
15657,1999-09,North Dakota,0,,376,3748,,25,0,,,,,,,,,,,,,,,,,,4149
15658,1999-09,Ohio,0,,8442,16519,,457,0,,,,,,,,,,,,,,,,,,25418
15659,1999-09,Oklahoma,5,,4123,9383,,286,0,,,,,,,,,,,,,,,,,,13797
15660,1999-09,Oregon,0,,4907,10486,,160,0,,,,,,,,,,,,,,,,,,15553
15661,1999-09,Pennsylvania,1656,,0,42302,,1171,0,,,,,,,,,,,,,,,,,,45129
15662,1999-09,Puerto Rico,0,,409,129,,2,0,,,,,,,,,,,,,,,,,,540
15663,1999-09,Rhode Island,0,,344,438,,78,0,,,,,,,,,,,,,,,,,,860
15664,1999-09,South Carolina,457,,4235,7866,,88,0,,,,,,,,,,,,,,,,,,12646
15665,1999-09,South Dakota,0,,319,3621,,19,0,,,,,,,,,,,,,,,,,,3959
15666,1999-09,Tennessee,0,,7853,11247,,284,0,,,,,,,,,,,,,,,,,,19384
15667,1999-09,Texas,4662,,16751,43374,,902,42,,,,,,,,,,,,,,,,,,65731
15668,1999-09,Utah,0,,1720,5496,,139,0,,,,,,,,,,,,,,,,,,7355
15669,1999-09,Vermont,0,,602,1982,,19,0,,,,,,,,,,,,,,,,,,2603
15670,1999-09,Virgin Islands,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,0
15671,1999-09,Virginia,0,,5995,11255,,179,0,,,,,,,,,,,,,,,,,,17429
15672,1999-09,Washington,876,,2203,8826,,175,45,,,,,,,,,,,,,,,,,,12125
15673,1999-09,West Virginia,0,,2987,8754,,163,0,,,,,,,,,,,,,,,,,,11904
15674,1999-09,Wisconsin,0,,3376,17921,,9,0,,,,,,,,,,,,,,,,,,21306
15675,1999-09,Wyoming,215,,778,2667,,64,0,,,,,,,,,,,,,,,,,,3724
15676,1999-08,Alabama,0,,7123,9709,,263,0,,,,,,,,,,,,,,,,,,17095
15677,1999-08,Alaska,0,,1111,3063,,69,0,,,,,,,,,,,,,,,,,,4243
15678,1999-08,Arizona,1576,,5621,6008,,280,6,,,,,,,,,,,,,,,,,,13491
15679,1999-08,Arkansas,505,,3833,9013,,231,0,,,,,,,,,,,,,,,,,,13582
15680,1999-08,California,8723,,28841,32619,,0,0,,,,,,,,,,,,,,,,,,70183
15681,1999-08,Colorado,0,,8272,11776,,534,25,,,,,,,,,,,,,,,,,,20607
15682,1999-08,Connecticut,3295,,1740,1826,,27,11,,,,,,,,,,,,,,,,,,6899
15683,1999-08,Delaware,0,,422,830,,18,0,,,,,,,,,,,,,,,,,,1270
15684,1999-08,District of Columbia,0,,2,0,,0,0,,,,,,,,,,,,,,,,,,2
15685,1999-08,Florida,0,,9946,8591,,368,1188,,,,,,,,,,,,,,,,,,20093
15686,1999-08,Georgia,3650,,8045,10023,,235,8706,,,,,,,,,,,,,,,,,,30659
15687,1999-08,Guam,0,,11,11,,0,0,,,,,,,,,,,,,,,,,,22
15688,1999-08,Hawaii,462,,0,0,,0,0,,,,,,,,,,,,,,,,,,462
15689,1999-08,Idaho,0,,1509,3971,,116,839,,,,,,,,,,,,,,,,,,6435
15690,1999-08,Illinois,24132,,4988,8730,,173,0,,,,,,,,,,,,,,,,,,38023
15691,1999-08,Indiana,0,,2187,13033,,6,0,,,,,,,,,,,,,,,,,,15226
15692,1999-08,Iowa,2866,,49,2902,,3,21,,,,,,,,,,,,,,,,,,5841
15693,1999-08,Kansas,0,,2686,5005,,143,0,,,,,,,,,,,,,,,,,,7834
15694,1999-08,Kentucky,0,,6730,11112,,363,0,,,,,,,,,,,,,,,,,,18205
15695,1999-08,Louisiana,0,,5092,9024,,176,0,,,,,,,,,,,,,,,,,,14292
15696,1999-08,Maine,0,,1103,2870,,63,0,,,,,,,,,,,,,,,,,,4036
15697,1999-08,Mariana Islands,0,,32,5,,1,0,,,,,,,,,,,,,,,,,,38
15698,1999-08,Maryland,2561,,140,3446,,10,0,,,,,,,,,,,,,,,,,,6157
15699,1999-08,Massachusetts,175,,850,732,,15,273,,,,,,,,,,,,,,,,,,2045
15700,1999-08,Michigan,10005,,127,13770,,4,0,,,,,,,,,,,,,,,,,,23906
15701,1999-08,Minnesota,2417,,2675,13076,,81,0,,,,,,,,,,,,,,,,,,18249
15702,1999-08,Mississippi,0,,4742,8211,,168,0,,,,,,,,,,,,,,,,,,13121
15703,1999-08,Missouri,0,,3085,11506,,136,0,,,,,,,,,,,,,,,,,,14727
15704,1999-08,Montana,0,,1597,4313,,85,0,,,,,,,,,,,,,,,,,,5995
15705,1999-08,Nebraska,1235,,29,2270,,0,0,,,,,,,,,,,,,,,,,,3534
15706,1999-08,Nevada,0,,2437,2216,,186,0,,,,,,,,,,,,,,,,,,4839
15707,1999-08,New Hampshire,0,,1277,2225,,12,0,,,,,,,,,,,,,,,,,,3514
15708,1999-08,New Jersey,0,,1295,1778,,45,4,,,,,,,,,,,,,,,,,,3122
15709,1999-08,New Mexico,0,,2821,4174,,152,0,,,,,,,,,,,,,,,,,,7147
15710,1999-08,New York,4341,,838,7844,,11,92,,,,,,,,,,,,,,,,,,13126
15711,1999-08,North Carolina,8798,,1389,13380,,84,0,,,,,,,,,,,,,,,,,,23651
15712,1999-08,North Dakota,0,,422,2277,,11,0,,,,,,,,,,,,,,,,,,2710
15713,1999-08,Ohio,0,,8667,13157,,438,0,,,,,,,,,,,,,,,,,,22262
15714,1999-08,Oklahoma,0,,4229,7660,,256,0,,,,,,,,,,,,,,,,,,12145
15715,1999-08,Oregon,0,,4685,6592,,175,0,,,,,,,,,,,,,,,,,,11452
15716,1999-08,Pennsylvania,1149,,0,40245,,1643,0,,,,,,,,,,,,,,,,,,43037
15717,1999-08,Puerto Rico,0,,314,126,,9,0,,,,,,,,,,,,,,,,,,449
15718,1999-08,Rhode Island,0,,371,401,,65,0,,,,,,,,,,,,,,,,,,837
15719,1999-08,South Carolina,507,,4493,6752,,82,0,,,,,,,,,,,,,,,,,,11834
15720,1999-08,South Dakota,0,,355,2358,,17,0,,,,,,,,,,,,,,,,,,2730
15721,1999-08,Tennessee,0,,8830,10575,,257,0,,,,,,,,,,,,,,,,,,19662
15722,1999-08,Texas,4723,,16585,35003,,873,0,,,,,,,,,,,,,,,,,,57184
15723,1999-08,Utah,0,,1697,3543,,90,0,,,,,,,,,,,,,,,,,,5330
15724,1999-08,Vermont,0,,499,1236,,17,0,,,,,,,,,,,,,,,,,,1752
15725,1999-08,Virgin Islands,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,0
15726,1999-08,Virginia,0,,6305,8698,,146,9,,,,,,,,,,,,,,,,,,15158
15727,1999-08,Washington,1133,,2397,6807,,148,47,,,,,,,,,,,,,,,,,,10532
15728,1999-08,West Virginia,0,,3068,6013,,145,0,,,,,,,,,,,,,,,,,,9226
15729,1999-08,Wisconsin,0,,3490,10463,,9,0,,,,,,,,,,,,,,,,,,13962
15730,1999-08,Wyoming,175,,868,1941,,63,0,,,,,,,,,,,,,,,,,,3047
15731,1999-07,Alabama,0,,6770,7813,,212,0,,,,,,,,,,,,,,,,,,14795
15732,1999-07,Alaska,0,,1297,2363,,84,0,,,,,,,,,,,,,,,,,,3744
15733,1999-07,Arizona,1729,,5947,5073,,271,12,,,,,,,,,,,,,,,,,,13032
15734,1999-07,Arkansas,407,,3712,6560,,218,0,,,,,,,,,,,,,,,,,,10897
15735,1999-07,California,9063,,27758,28825,,0,0,,,,,,,,,,,,,,,,,,65646
15736,1999-07,Colorado,2,,4733,5717,,306,0,,,,,,,,,,,,,,,,,,10758
15737,1999-07,Connecticut,1926,,1572,1387,,0,55,,,,,,,,,,,,,,,,,,4940
15738,1999-07,Delaware,0,,345,544,,12,0,,,,,,,,,,,,,,,,,,901
15739,1999-07,District of Columbia,0,,2,0,,0,0,,,,,,,,,,,,,,,,,,2
15740,1999-07,Florida,0,,10279,7868,,353,1504,,,,,,,,,,,,,,,,,,20004
15741,1999-07,Georgia,3194,,7748,7333,,234,7051,,,,,,,,,,,,,,,,,,25560
15742,1999-07,Guam,0,,6,6,,0,0,,,,,,,,,,,,,,,,,,12
15743,1999-07,Hawaii,488,,0,4,,0,0,,,,,,,,,,,,,,,,,,492
15744,1999-07,Idaho,0,,1600,3302,,107,1006,,,,,,,,,,,,,,,,,,6015
15745,1999-07,Illinois,18092,,5185,6368,,181,0,,,,,,,,,,,,,,,,,,29826
15746,1999-07,Indiana,0,,2205,10381,,8,0,,,,,,,,,,,,,,,,,,12594
15747,1999-07,Iowa,2227,,52,1854,,2,17,,,,,,,,,,,,,,,,,,4152
